Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Aliance,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces
27,973.0,0,0,0,0,0,0,1,12,1,0,0,2,1,0,6,1,3,Blue,41,18,0,0,30
27,6017.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,6,1,2,Blue,23,12,0,0,30
27,4.0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,2,Red,14,11,0,0,34
27,3128.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,1,3,Red,23,11,0,0,34
27,1148.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,1,2,Red,24,12,0,0,34
28,1138.0,0,0,0,0,0,0,1,12,2,0,0,4,0,1,10,1,3,Blue,59,32,1,1,87
28,3647.2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,10,1,2,Blue,25,13,1,1,87
28,359.0,0,0,0,2,0,0,1,0,0,2,2,3,1,1,10,1,2,Blue,57,42,1,1,87
28,2102.0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,2,Red,18,16,1,1,62
28,3512.2,0,0,0,1,0,0,1,0,1,2,1,0,0,0,10,1,2,Red,34,19,1,1,62
28,5199.0,1,0,0,0,0,0,1,12,0,1,3,2,0,1,10,1,3,Red,54,27,1,1,62
29,6647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Blue,0,0,0,0,22
29,5124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Blue,0,0,0,0,22
29,1197.0,0,1,0,0,0,0,1,0,1,0,1,1,2,0,10,1,2,Blue,37,22,0,0,22
29,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Red,0,0,0,1,49
29,9084.0,0,0,1,1,0,0,1,0,1,0,6,1,0,0,10,1,2,Red,46,31,0,1,49
29,3759.0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,10,1,2,Red,33,18,0,1,49
30,5887.0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,10,1,2,Blue,24,9,1,1,40
30,696.2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,3,Blue,27,15,1,1,40
30,4322.0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,10,1,2,Blue,31,16,1,1,40
30,3128.0,0,0,0,1,0,0,1,12,1,0,3,2,0,0,10,0,3,Red,52,27,1,1,69
30,7157.0,1,0,0,1,0,0,1,0,1,0,4,3,0,0,10,1,2,Red,55,40,1,1,69
30,8006.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Red,5,2,1,1,69
31,3647.2,0,0,1,0,0,0,1,0,0,0,5,0,0,0,10,1,2,Blue,28,13,0,1,37
31,6017.0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,3,Blue,15,13,0,1,37
31,599.0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,10,1,2,Blue,26,11,0,1,37
31,8006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Red,0,0,0,0,25
31,4079.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Red,0,0,0,0,25
31,8006.0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,Red,11,6,0,0,25
31,7157.0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,10,1,2,Red,31,19,0,0,25
32,3759.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,Blue,3,0,0,0,30
32,696.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,10,1,2,Blue,20,5,0,0,30
32,7102.0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,10,1,2,Blue,37,25,0,0,30
32,3128.2,0,0,0,1,0,0,1,8,1,0,1,3,0,0,0,0,3,Red,39,28,1,1,56
32,3512.0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,10,1,2,Red,34,19,1,1,56
32,7415.0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,10,1,2,Red,24,9,1,1,56
33,4.0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,2,Blue,18,15,0,0,17
33,3925.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,2,Blue,10,2,0,0,17
33,2659.0,0,0,0,1,0,0,0,12,1,2,3,3,0,1,0,1,3,Red,54,40,1,1,80
33,4415.0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,10,1,2,Red,42,27,1,1,80
