Marca temporal,Scouter,Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Auto Comentarios Extra,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Disconnection Time ,Defensive Rank,TeleOp Comentarios Extras,Aliance
21/10/2023 13:03:36,leah,15,5124,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Engaged,Si,0,2,no hiso nada ,Blue
21/10/2023 13:03:50,clarisa,15,599,1,0,0,0,0,0,Si,Nothing,,1,0,0,2,1,1,Engaged,Si,0,2,,Blue
21/10/2023 13:04:16,karla,15,7415,0,0,1,0,0,0,Si,Nothing,,0,0,3,0,0,0,Nothing,Si,0,3,,Red
21/10/2023 13:10:59,sofy,16,7102,0,0,0,0,0,0,No,Engaged (Balanced),,0,0,4,0,0,0,Engaged,No,6,2,,Red
21/10/2023 13:11:03,Rebeca,16,3512.2,0,0,0,1,0,0,Si,Nothing,,2,0,1,1,1,1,Engaged,Si,0,2,,Blue
21/10/2023 13:11:10,leah,16,359,1,0,0,1,0,0,Si,Engaged (Balanced),,2,0,0,2,0,0,Engaged,Si,30,3,,Blue
21/10/2023 13:11:13,mangie,16,6647,1,0,0,0,0,0,Si,Nothing,,0,0,1,0,0,1,Engaged,Si,0,3,,Red
21/10/2023 13:11:24,clarisa,16,599.2,0,0,0,0,0,0,No,Nothing,,0,0,1,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 13:11:44,karla,16,1148,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,70,1,No se movio nada ,Red
21/10/2023 13:19:11,sofy,17,3512,0,0,0,0,1,0,Si,Nothing,,2,0,0,1,2,0,Engaged,Si,0,2,,Red
21/10/2023 13:19:17,mangie,17,3647,0,0,0,1,0,0,Si,Nothing,,2,1,0,4,1,0,Engaged,Si,0,3,,Red
21/10/2023 13:19:25,leah,17,8006.2,0,0,0,0,0,0,Si,Nothing,,0,0,1,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,no hico nada medio defendio ,Blue
21/10/2023 13:19:30,Rebeca,17,1148.2,0,0,0,0,0,0,No,Nothing,,0,0,2,0,0,2,Nothing,No,0,2,,Blue
